Rank,Name,Industry,Profits(USD millions)
1,Apple,Electronics,"94,680"
2,Berkshire Hathaway,Conglomerate,"89,795"
3,Alphabet,Technology,"76,033"
4,Microsoft,Technology,"72,271"
5,JPMorgan Chase,Financials,"48,334"
6,Meta,Technology,"39,370"
7,Amazon,Retail and Technology,"33,364"
8,Bank of America,Financials,"31,978"
9,ExxonMobil,Petroleum industry,"23,040"
10,Fannie Mae,Financials,"22,176"
11,Verizon,Telecommunications,"22,065"
12,Pfizer,Pharmaceutical industry,"21,979"
13,Citigroup,Financials,"21,952"
14,Goldman Sachs,Financials,"21,635"
15,Wells Fargo,Financials,"21,548"
16,Johnson & Johnson,Pharmaceutical industry,"20,878"
17,AT&T,Telecommunications,"20,081"
18,Intel,Technology,"19,868"
19,Ford Motor Company,Automotive,"17,937"
20,UnitedHealth Group,Healthcare,"17,285"
